,id,name,artists,genres,popularity,added_at,danceability,energy,instrumentalness,tempo,valence
0,6zTbtySCRStJOv5xA4XvRE,So Far So Good,['Sun Of They'],[],62,2022-12-09 15:29:46+00:00,0.577,0.0721,0.898,73.998,0.242
1,6cr9XbO2yAJgTNa6XNRINF,Apricity,['Imala Zir'],[],62,2022-12-09 15:29:46+00:00,0.467,0.243,0.947,75.031,0.0541
2,4br0nM6NdvDKMJgLj44foR,Solatium,['Imber Sun'],[],61,2022-12-09 15:29:46+00:00,0.442,0.112,0.919,112.206,0.111
3,7qa14fkhxgOwWgJ2cbDTyc,efflorescence,['Far & Beyond'],[],61,2022-12-09 15:29:46+00:00,0.509,0.212,0.853,84.0,0.0711
4,11nkLTEsCUzxXLWpyuz65G,Gather My Thoughts,['Josef Briem'],[],61,2022-12-09 15:29:46+00:00,0.346,0.0513,0.895,129.445,0.058
5,40yQjVqMx52xTlY4KFZXnh,Fresh Paint,['Shape Of Our Dreams'],[],60,2022-12-09 15:29:46+00:00,0.378,0.0973,0.94,118.209,0.0564
6,5AciiCKJKTLKRrAPSrKQy5,Infinite Sustain,['Amaranth Cove'],['background music'],61,2022-12-09 15:29:46+00:00,0.529,0.214,0.907,124.069,0.0903
7,7hYgGeMBarMRK5iGPqKGsb,Borealis,['PLACID'],[],59,2022-12-09 15:29:46+00:00,0.437,0.189,0.718,71.407,0.13
8,2GNEJcmdJuQK97mWea637Y,middle part,['Leo Lind'],[],62,2022-12-09 15:29:46+00:00,0.38,0.0639,0.912,76.735,0.054
9,3YTZyDywwVOWOXw2d970Dx,Tidal Waves,['Isaak Young'],[],59,2022-12-09 15:29:46+00:00,0.597,0.115,0.923,97.044,0.13
10,0acEauszFAvCGw9cNF0kZM,Frozen Lakes,['Imber Sun'],[],56,2022-12-09 15:29:46+00:00,0.426,0.101,0.943,78.734,0.0626
11,0Mjbx4mfOH02A9xmUE3F40,Staring into Infinity,['Far & Beyond'],[],55,2022-12-09 15:29:46+00:00,0.516,0.108,0.907,76.987,0.116
12,7GuN1Fddm0hCfppgIDUArP,Neon White,['Dance Of Centuries'],[],50,2022-12-09 15:29:46+00:00,0.311,0.0541,0.926,59.549,0.281
13,3xXQCt1vfzNEOndrrNWAZR,Are You Up,['Agnes Lundh'],[],50,2022-12-09 15:29:46+00:00,0.597,0.127,0.929,70.051,0.135
14,2dwLTY84vCeubyM0jM0nXH,waveforms,['Joy Parade'],[],55,2022-12-09 15:29:46+00:00,0.389,0.181,0.905,73.869,0.111
15,3kKwXt8TAU7wMCPIPCrzkI,miniature things,['Tall Towers'],[],54,2022-12-09 15:29:46+00:00,0.487,0.143,0.904,73.548,0.16
16,1chT7Yo3zSvjFPRQ20fWFH,both sides of the coin,['Electric Rivers'],[],61,2022-12-09 15:29:46+00:00,0.292,0.164,0.708,103.411,0.0666
17,5iR4ziuzYZO1VondRmrvsc,taming the tiger,['Golden Horses'],[],60,2022-12-09 15:29:46+00:00,0.248,0.0978,0.94,114.844,0.0426
18,4YhxXaf6Qrn5DrmgEfhwLH,Look At The Stars,['The Purple Stripe'],['background music'],61,2022-12-09 15:29:46+00:00,0.704,0.079,0.892,114.061,0.107
19,09LGPIStoVjhEWYV5PG9M6,oh! the view,['Mayra R'],[],60,2022-12-09 15:29:46+00:00,0.438,0.0751,0.91,62.055,0.0694
20,580SKYBPZ2vQQRcQogBF9N,Morpheus,['ARCADIA'],[],56,2022-12-09 15:29:46+00:00,0.51,0.294,0.845,106.949,0.0395
21,3hPRkKFO5mIflYwDjicJ4U,Searching In The Night,['Dreams Ahead'],[],57,2022-12-09 15:29:46+00:00,0.47,0.132,0.925,79.707,0.138
22,794SxkpLERVaBoag5946LG,High Up,['Mirror Inside'],[],59,2022-12-09 15:29:46+00:00,0.285,0.0337,0.7,143.627,0.0747
23,6xcD8EbsvMep9ULtidHI2j,Winter Sun,['Sun Of They'],[],61,2022-12-09 15:29:46+00:00,0.392,0.223,0.869,143.912,0.282
24,4RQFT3aZPjhuafwXNUnL6x,line up,['Golden Horses'],[],59,2022-12-09 15:29:46+00:00,0.17,0.087,0.873,71.901,0.0742
25,7Dxb8siYBoC5rZRPTmhob4,Slip Away,['Elementaries'],['chill beats'],59,2022-12-09 15:29:46+00:00,0.313,0.101,0.898,177.785,0.0693
26,0Y12GuKnIa7ObO8s6E0D9X,Echoes In The Night,['Hers Lake'],[],58,2022-12-09 15:29:46+00:00,0.593,0.0893,0.907,118.461,0.0956
27,6GgnlnCWIw7QsIBFewAnuE,The Top Brink,['Haltura Arnadottir'],[],58,2022-12-09 15:29:46+00:00,0.482,0.143,0.957,67.566,0.0792
28,4tfaUHGYBCMliBaOHM5vHX,Zero Gravity,"['Rippling', 'CONNXCT', 'William Cas']","['background piano', 'neo-classical']",58,2022-12-09 15:29:46+00:00,0.191,0.0629,0.877,219.483,0.0547
29,0gDMSJ8JtTjnAnROaM4L9w,the light of day,['Imala Zir'],[],56,2022-12-09 15:29:46+00:00,0.384,0.111,0.929,82.203,0.13
30,1c3QWfGAadGw4ywwmLx5ju,Nuraghe,['PLACID'],[],58,2022-12-09 15:29:46+00:00,0.49,0.204,0.794,106.687,0.178
31,5kukWcGnSNpw8YGy1JV8zu,Quiet Thinking,['Stories Seldom Told'],[],57,2022-12-09 15:29:46+00:00,0.439,0.137,0.939,66.995,0.118
32,5bUMUrnrWr29gSRy7UgUOO,Follow My Voice,['Niveous'],[],55,2022-12-09 15:29:46+00:00,0.464,0.0644,0.913,67.627,0.269
33,5FGMMbjDUWrfwyP1w2ac0K,The Quest,['Spaced Out Dreams'],[],57,2022-12-09 15:29:46+00:00,0.351,0.217,0.856,77.138,0.196
34,43qHoXJIYjMwJsRNTj9V98,embraceable,['Hers Lake'],[],56,2022-12-09 15:29:46+00:00,0.62,0.145,0.906,58.032,0.127
35,745ZrIG7sLyZniaQBAgIdg,nameless wonder,['Dreams Ahead'],[],57,2022-12-09 15:29:46+00:00,0.571,0.099,0.89,73.95,0.127
36,5PEzT7NREhifSvdJLkw2Ej,circles,['Niveous'],[],57,2022-12-09 15:29:46+00:00,0.55,0.111,0.929,77.032,0.0921
37,6sV8mjqZTDnZA5qMz5RtwF,Horoscopes,['Isaak Young'],[],56,2022-12-09 15:29:46+00:00,0.455,0.169,0.917,173.908,0.131
38,2bMSh7BYTXtL5h3dGJlfl7,In Due Time,['Broken Legacy'],[],56,2022-12-09 15:29:46+00:00,0.672,0.114,0.856,103.98,0.22
39,6obsAYZi05zj2412g9UsGJ,apple of my eye,['Spaced Out Dreams'],[],54,2022-12-09 15:29:46+00:00,0.666,0.133,0.9,112.02,0.204
40,05FuhMHmo0gi65Sotwj01c,transparency,['Sun Of They'],[],56,2022-12-09 15:29:46+00:00,0.491,0.134,0.916,143.278,0.18
41,60xGrKFHgLNpqhuS00HINp,Return To Sender,['Dreams Ahead'],[],53,2022-12-09 15:29:46+00:00,0.482,0.0414,0.933,73.893,0.132
42,28fBoIuzvYI6uQExWj9DbN,Silver Lining,['Agnes Lundh'],[],56,2022-12-09 15:29:46+00:00,0.447,0.0357,0.866,74.951,0.145
43,5ubuyElg33ARspfgM0z2yt,Jalons,['Rayonner'],[],55,2022-12-09 15:29:46+00:00,0.411,0.218,0.766,79.841,0.105
44,1m1G0nm9tWDY8Jr3T1Dzi4,Ultraviolet,['Josef Briem'],[],53,2022-12-09 15:29:46+00:00,0.57,0.0486,0.89,78.09,0.128
45,5SSvRUwuAGPz7vDEIcq4LA,neck of the woods,['Dreams Ahead'],[],55,2022-12-09 15:29:46+00:00,0.223,0.0449,0.905,79.42,0.122
46,0BYqfF118BfjcxvQRCwaWk,paragraphs,['Dance Of Centuries'],[],55,2022-12-09 15:29:46+00:00,0.653,0.0773,0.935,115.986,0.115
47,6DjuB3ja8UvTVIrbLP7pSr,Humane,['Andrew Oye'],[],55,2022-12-09 15:29:46+00:00,0.462,0.0903,0.883,134.228,0.0607
48,6fE5kgw2HR8AxQGqA3e2Gu,Tied Together,['Agnes Lundh'],[],53,2022-12-09 15:29:46+00:00,0.574,0.0754,0.92,71.095,0.384
49,1eEHpyWT5AOAFbgqAGSMns,Steady Walk,['Joy Parade'],[],55,2022-12-09 15:29:46+00:00,0.383,0.0869,0.912,78.735,0.224
50,41niA9BIBT3GBJODEWicuP,Chasing Tides,['Josef Briem'],[],55,2022-12-09 15:29:46+00:00,0.485,0.0156,0.907,74.895,0.0627
51,1Tqt1u2aFYDBCMxxJRiM0f,In A Week Or Two,['Isaak Young'],[],55,2022-12-09 15:29:46+00:00,0.411,0.0712,0.905,64.673,0.0799
52,3vROTGlX31Rem9VaTqdBzS,summer silence,['Niveous'],[],55,2022-12-09 15:29:46+00:00,0.339,0.0631,0.859,68.534,0.165
53,0yS587osB0zPG0JB01roTg,Eulogy,['Woven Hearts'],['calming instrumental'],54,2022-12-09 15:29:46+00:00,0.135,0.0877,0.839,57.129,0.0917
54,0AOz0XTa8sCskJQlBtHfHG,That Bird of Prey Casts a Long Shadow,['Random Forest'],"['compositional ambient', 'focus']",54,2022-12-09 15:29:46+00:00,0.525,0.188,0.839,110.02,0.121
55,1IKTSaVFGdnkbWkzSJPveE,Chorale Bloom,['MVS'],[],54,2022-12-09 15:29:46+00:00,0.515,0.155,0.914,122.895,0.0574
56,6ZB05VtNtULcsYIwAzAYjS,Heavy lifting,['Stories Seldom Told'],[],53,2022-12-09 15:29:46+00:00,0.529,0.122,0.918,78.012,0.131
57,0SdF87pVzhydKwygD13H6B,Gentle Whisper,['Josef Briem'],[],54,2022-12-09 15:29:46+00:00,0.47,0.262,0.895,149.751,0.0748
58,4lcT08ARvK8cVjRLJbnKLh,heels to the heavens,['Dössell'],[],54,2022-12-09 15:29:46+00:00,0.298,0.155,0.877,64.395,0.0487
59,6zUDEI1myhSL5mAHRlKrIo,Resolutions,['Sad Monologue'],[],53,2022-12-09 15:29:46+00:00,0.566,0.266,0.937,136.028,0.139
60,1ubCPXu6jZQJfttzO9APUB,Breathe,['Night Songs'],[],53,2022-12-09 15:29:46+00:00,0.538,0.12,0.81,78.008,0.11
61,7wH5Ck2MRPWwwunLeMjg9f,Waiting for the Sunrise,['Across The Great Valley'],[],54,2022-12-09 15:29:46+00:00,0.374,0.158,0.95,140.09,0.0506
62,0lWWho4vGcKfIX8kA8YmAy,Dreamscapes,['Agnes Lundh'],[],57,2022-12-09 15:29:46+00:00,0.272,0.204,0.902,73.728,0.227
63,3aQlVIegX4nPS2igYBFllB,Undeniable,['Hollow Light'],['background music'],53,2022-12-09 15:29:46+00:00,0.531,0.188,0.909,110.087,0.076
64,2yR2KTxdGPqpk8krap1Bbl,Roundabout,['NYMK'],[],53,2022-12-09 15:29:46+00:00,0.183,0.0318,0.864,102.077,0.115
65,4BLroGG5pTJwGui3vurqql,Mývatn,['Haltura Arnadottir'],[],53,2022-12-09 15:29:46+00:00,0.389,0.201,0.87,76.869,0.128
66,1rpHkU5rHv0aPQwD65Ld1y,synergy,['Dreams Ahead'],[],53,2022-12-09 15:29:46+00:00,0.592,0.133,0.937,119.585,0.124
67,2kRzlPRExNaBBsIANubbHg,aesthetics,['Agnes Lundh'],[],53,2022-12-09 15:29:46+00:00,0.332,0.0686,0.936,170.949,0.232
68,1oCPeGIQ5TpDYKrS4KmSTr,Heliosphere,['Haltura Arnadottir'],[],53,2022-12-09 15:29:46+00:00,0.374,0.0557,0.915,70.748,0.174
69,138ntruMbI8Yp3FRYH1qm5,deep wild,['Far & Beyond'],[],53,2022-12-09 15:29:46+00:00,0.413,0.0227,0.882,75.735,0.125
70,2XLdNfDhWJwViR3wiq8NrA,Anagram,['Imala Zir'],[],53,2022-12-09 15:29:46+00:00,0.387,0.0853,0.89,73.894,0.14
71,3YszK66xCFReY90ys3jP6o,bewildered,['Garden Collective'],[],52,2022-12-09 15:29:46+00:00,0.545,0.124,0.863,85.044,0.12
72,5OqkQteQRQBSZeQXBbY7a6,In Every Heartbeat,['Axione'],[],52,2022-12-09 15:29:46+00:00,0.33,0.0687,0.921,199.982,0.0359
73,4yf9GHCVO6VyY6q9yl2LvI,Hold My Hand,['They Dream By Day'],"['atmosphere', 'background music', 'focus']",53,2022-12-09 15:29:46+00:00,0.516,0.26,0.924,93.031,0.0831
74,58BB8I0IO8pxDkwuwWyEdw,The Outlook,['Benjamin Martins'],['background music'],52,2022-12-09 15:29:46+00:00,0.381,0.174,0.715,169.828,0.0382
75,5M2Tj8w6F5dYuCeakcwZ9D,Mount Soul,['Nova Explora'],[],52,2022-12-09 15:29:46+00:00,0.411,0.0636,0.93,120.217,0.0323
76,1CMi03AXBZLUT2Wg6YHd9s,Coastlines,['Garden Collective'],[],52,2022-12-09 15:29:46+00:00,0.43,0.106,0.726,83.049,0.05
77,6sZ06jEfwg6DjssHZeZhwe,Undiscovered,['Elementaries'],['chill beats'],52,2022-12-09 15:29:46+00:00,0.354,0.132,0.887,113.783,0.0373
78,0WRbfmpoYdrlMRv4BmJcPS,ouma,['Fall Ball'],[],51,2022-12-09 15:29:46+00:00,0.207,0.0672,0.787,134.106,0.0942
79,53TsZT0ySAHpRJ8GClsekU,Horizons,['Hers Lake'],[],53,2022-12-09 15:29:46+00:00,0.489,0.184,0.88,74.976,0.171
80,6TL7AaKyoeXyCdGBKuC3fE,eternal wind down,['Riley Power'],[],51,2022-12-09 15:29:46+00:00,0.328,0.25,0.875,153.087,0.125
81,0Pg5pXLEh0BUcifZBr5qDG,Rainy Nights,['Random Forest'],"['compositional ambient', 'focus']",51,2022-12-09 15:29:46+00:00,0.439,0.379,0.76,160.011,0.199
82,62X7ld1sa8RHl4zRtSvfHf,Just Look at You,['369'],[],54,2022-12-09 15:29:46+00:00,0.558,0.249,0.925,94.991,0.111
83,7nIG9RI8QkvsrepRb1t6ZQ,Into The Deep End,['The Purple Stripe'],['background music'],51,2022-12-09 15:29:46+00:00,0.616,0.144,0.821,124.153,0.0621
84,06G5MnuMA3cLbNwjFs8zIS,Flowing,['Lucas Delphy'],[],52,2022-12-09 15:29:46+00:00,0.2,0.138,0.929,71.631,0.138
85,3JPbOyccVz2HJDNaXfehiX,Needless to Say,['Elkoo'],[],51,2022-12-09 15:29:46+00:00,0.47,0.087,0.896,109.936,0.171
86,3KBoMRQ6EbCiTzOCzy4pvF,River Deep,['2am Fieldscape'],[],51,2022-12-09 15:29:46+00:00,0.294,0.00912,0.921,76.805,0.0842
87,4TOJ3cjdXI3Mbj5Scd0XGg,Stillness Within,['Roots and Recognition'],[],52,2022-12-09 15:29:46+00:00,0.328,0.101,0.92,111.002,0.129
88,51c5Wbzs0fPu6mwpDn3bsQ,With Resolve,['Jacob Yoffee'],[],53,2022-12-09 15:29:46+00:00,0.456,0.0195,0.924,126.086,0.269
89,2UPZhccmKlfIV1oWZxDhXN,lining the cloud,['Aguto Rising'],[],51,2022-12-09 15:29:46+00:00,0.0967,0.054,0.871,64.088,0.0374
90,4MaHchXoMIXMg1HJeCukEV,zoot suit,['Blackbird Co.'],[],50,2022-12-09 15:29:46+00:00,0.323,0.136,0.875,76.791,0.0852
91,381cpx26XrMnGOIn4faioN,Ethereal Glow,['Far & Beyond'],[],52,2022-12-09 15:29:46+00:00,0.364,0.114,0.863,73.956,0.0736
92,6mgKP4yo57GTSMc3fJlyWm,Ingénue,['Eline Moss'],['background music'],51,2022-12-09 15:29:46+00:00,0.283,0.122,0.905,83.746,0.112
93,4iNlPrMJCvBjakWljscabH,Hidden Chambers,['Marlee Tuaine'],[],51,2022-12-09 15:29:46+00:00,0.297,0.209,0.907,141.603,0.0867
94,0W4RUo3m0jL0wHADS0PLme,The Five Times I Loved You,['Cora Zea'],['background music'],52,2022-12-09 15:29:46+00:00,0.41,0.0845,0.93,92.033,0.0795
95,6Xgupx0XndCMdA09Nl46wF,Golden,['Clear Blue Skies'],[],50,2022-12-09 15:29:46+00:00,0.521,0.322,0.904,140.059,0.148
96,6WdO6Ds95sLALCqCOfbDQh,Atlavík,['Hugar'],"['compositional ambient', 'icelandic classical', 'neo-classical']",53,2022-12-09 15:29:46+00:00,0.535,0.147,0.797,126.823,0.238
97,49K00nm3DD6HZwQg2I4HmP,Hold the Handle,['Forest Landing'],[],50,2022-12-09 15:29:46+00:00,0.219,0.222,0.903,79.121,0.0396
